English,French,Spanish,Chinese,German
time,temps,hora,时间,Zeit
year,an,año,年,Jahr
people,gens,gente,人们,Menschen
way,façon,manera,大大地,Weg
day,journée,día,日,Tag
man,homme,hombre,人,Mann
thing,chose,cosa,事物,Ding
woman,femme,mujer,女士,Frau
life,la vie,la vida,生活,Leben
child,enfant,niño,孩子,Kind
world,monde,mundo,世界,Welt
school,l'école,colegio,学校,Schule
state,Etat,estado,状态,Zustand
family,famille,familia,家庭,Familie
student,élève,estudiante,学生,Schüler
group,grouper,grupo,团体,Gruppe
country,de campagne,país,国家,Land
problem,problème,problema,问题,Problem
hand,main,mano,手,Hand
part,partie,parte,部分,Teil
place,lieu,lugar,地方,Ort
case,Cas,caso,案子,Fall
week,semaine,semana,星期,Woche
company,entreprise,empresa,公司,Gesellschaft
system,système,sistema,系统,System
program,programme,programa,程序,Programm
question,question,pregunta,题,Frage
work,travailler,trabajo,工作,Arbeit
government,gouvernement,Gobierno,政府,Regierung
number,numéro,número,数字,Anzahl
night,nuit,noche,夜晚,Nacht
point,indiquer,punto,观点,Punkt
home,domicile,casa,家,Zuhause
water,l'eau,agua,水,Wasser
room,salle,habitación,房间,Zimmer
mother,mère,madre,母亲,Mutter
area,région,área,区域,Bereich
money,de l'argent,dinero,钱,Geld
story,récit,historia,故事,Geschichte
fact,fait,hecho,事实,Tatsache
month,mois,mes,月,Monat
lot,parcelle,lote,很多,viel
right,droit,Correcto,正确的,rechts
study,étude,estudio,学习,lernen
book,livre,libro,书,Buchen
eye,œil,ojo,眼睛,Auge
job,travail,trabajo,工作,Arbeit
word,mot,palabra,单词,Wort
business,affaires,negocio,商业,Unternehmen
issue,publier,asunto,问题,Ausgabe
side,côté,lado,边,Seite
kind,type,tipo,种类,Art
head,diriger,cabeza,头,Kopf
house,loger,casa,屋,Haus
service,service,Servicio,服务,Bedienung
friend,amie,amigo,friend,Freundin
father,père,padre,父亲,Vater
power,Puissance,energía,力量,Energie
hour,heure,hora,小时,Stunde
game,Jeu,juego,游戏,Spiel
line,ligne,línea,线,Linie
end,finir,final,结尾,Ende
member,membre,miembro,成员,Mitglied
law,droit,ley,法律,Gesetz
car,auto,coche,车,Wagen
city,ville,ciudad,城市,Stadt
community,communauté,comunidad,社区,Gemeinschaft
name,Nom,nombre,姓名,Name
president,Président,presidente,总统,Präsident
team,équipe,equipo,团队,Mannschaft
minute,minute,minuto,分钟,Minute
idea,idée,idea,主意,Idee
kid,enfant,niño,孩子,Kind
body,corps,cuerpo,身体,Karosserie
information,information,información,信息,Information
back,arrière,espalda,背部,zurück
parent,parent,padre,父母,Elternteil
face,visage,rostro,脸,Gesicht
others,les autres,otros,其他,Andere
level,niveau,nivel,等级,Stufe
office,Bureau,oficina,办公室,Büro
door,porte,puerta,门,Tür
health,santé,salud,健康,die Gesundheit
person,la personne,persona,人,Person
art,art,Arte,艺术,Kunst
war,guerre,guerra,战争,Krieg
history,l'histoire,historia,历史,Geschichte
party,fête,fiesta,派对,Gruppe
result,résultat,resultado,结果,Ergebnis
change,changement,cambiar,改变,Veränderung
morning,Matin,Mañana,早晨,Morgen
reason,raison,razón,原因,Grund
research,recherche,investigación,研究,Forschung
girl,fille,niña,女孩,Mädchen
guy,mec,chico,guy,Kerl
moment,moment,momento,片刻,Moment
air,air,aire,空气,Luft
teacher,prof,profesor,老师,Lehrer
force,Obliger,fuerza,力量,Gewalt
education,éducation,educación,教育,Ausbildung